01-01,3,0,3,0
01-02,1,0,4,0
01-04,1,0,5,0
01-05,1,0,6,0
01-06,1,0,7,0
01-18,1,0,8,0
05-20,1,0,9,0
05-24,1,0,10,0
06-03,1,0,11,0
06-10,1,0,12,0
06-11,0,1,12,1
06-13,1,1,13,2
06-14,0,3,13,5
06-15,0,1,13,6
06-16,0,5,13,11
06-17,1,3,14,14
06-19,0,8,14,22
06-20,2,4,16,26
06-21,1,12,17,38
06-22,0,5,17,43
06-23,1,11,18,54
06-24,0,7,18,61
06-25,2,8,20,69
06-26,0,16,20,85
06-27,0,15,20,100
06-28,1,20,21,120
06-29,1,4,22,124
06-30,2,16,24,140
07-01,0,16,24,156
07-02,3,9,27,165
07-03,1,12,28,177
07-04,3,10,31,187
07-05,1,15,32,202
07-06,1,20,33,222
07-07,2,13,35,235
07-08,0,10,35,245
07-09,0,18,35,263
07-10,3,25,38,288
07-11,5,11,43,299
07-12,4,12,47,311
07-13,4,7,51,318
07-14,3,12,54,330
07-15,8,14,62,344
07-16,11,12,73,356
07-17,4,16,77,372
07-18,4,14,81,386
07-19,6,30,87,416
07-20,5,27,92,443
07-21,7,33,99,476
07-22,10,22,109,498
07-23,12,13,121,511
07-24,16,45,137,556
07-25,16,29,153,585
07-26,9,21,162,606
07-27,20,15,182,621
07-28,18,16,200,637
07-29,17,32,217,669
07-30,18,17,235,686
07-31,18,39,253,725
08-01,21,20,274,745
08-02,18,34,292,779
08-03,26,32,318,811
08-04,50,39,368,850
08-05,36,30,404,880
08-06,45,28,449,908
08-07,43,57,492,965
08-08,36,58,528,1023
08-09,58,68,586,1091
08-10,54,41,640,1132
08-11,48,65,688,1197
08-12,60,45,748,1242
08-13,63,36,811,1278
08-14,75,69,886,1347
08-15,67,63,953,1410
08-16,85,56,1038,1466
08-17,120,65,1158,1531
08-18,101,64,1259,1595
08-19,132,66,1391,1661
08-20,143,52,1534,1713
08-21,163,102,1697,1815
08-22,161,86,1858,1901
08-23,136,118,1994,2019
08-24,220,143,2214,2162
08-25,196,137,2410,2299
08-26,156,96,2566,2395
08-27,147,100,2713,2495
08-28,197,205,2910,2700
08-29,149,132,3059,2832
08-30,159,165,3218,2997
08-31,340,173,3558,3170
09-01,296,160,3854,3330
09-02,394,0,4248,3330
09-03,367,0,4615,3330
09-04,447,0,5062,3330
09-05,292,0,5354,3330
09-06,356,0,5710,3330
09-07,563,0,6273,3330
09-08,570,0,6843,3330
09-09,490,0,7333,3330
09-10,448,0,7781,3330
09-11,422,0,8203,3330
09-12,311,0,8514,3330
09-13,272,0,8786,3330
09-14,434,0,9220,3330
09-15,472,0,9692,3330
09-16,527,0,10219,3330
09-17,432,0,10651,3330
09-18,531,0,11182,3330
09-19,479,0,11661,3330
09-20,355,0,12016,3330
09-21,724,0,12740,3330
09-22,545,0,13285,3330
09-23,493,0,13778,3330
09-24,500,0,14278,3330
09-25,415,0,14693,3330
09-26,335,0,15028,3330
09-27,289,0,15317,3330
09-28,423,0,15740,3330
09-29,326,0,16066,3330
09-30,408,0,16474,3330
10-01,343,0,16817,3330
10-02,351,0,17168,3330
10-03,260,0,17428,3330
10-04,170,0,17598,3330
10-05,357,0,17955,3330
10-06,286,0,18241,3330
10-07,280,0,18521,3330
10-08,271,0,18792,3330
10-09,171,0,18963,3330
10-10,185,0,19148,3330
10-11,154,0,19302,3330
10-12,259,0,19561,3330
10-13,172,0,19733,3330
10-14,168,0,19901,3330
10-15,168,0,20069,3330
10-16,161,0,20230,3330
10-17,104,0,20334,3330
10-18,113,0,20447,3330
10-19,153,0,20600,3330
10-20,128,0,20728,3330
10-21,155,0,20883,3330
10-22,102,0,20985,3330
10-23,88,0,21073,3330
10-24,92,0,21165,3330
10-25,74,0,21239,3330
10-26,121,0,21360,3330
10-27,104,0,21464,3330
10-28,87,0,21551,3330
10-29,89,0,21640,3330
10-30,68,0,21708,3330
10-31,61,0,21769,3330
11-01,51,0,21820,3330
11-02,86,0,21906,3330
11-03,58,0,21964,3330
11-04,52,0,22016,3330
11-05,59,0,22075,3330
11-06,55,0,22130,3330
11-07,28,0,22158,3330
11-08,20,0,22178,3330
11-09,40,0,22218,3330
11-10,47,0,22265,3330
11-11,35,0,22300,3330
11-12,29,0,22329,3330
11-13,26,0,22355,3330
11-14,21,0,22376,3330
11-15,22,0,22398,3330
11-16,32,0,22430,3330
11-17,23,0,22453,3330
11-18,20,0,22473,3330
11-19,23,0,22496,3330
11-20,26,0,22522,3330
11-21,11,0,22533,3330
11-22,8,0,22541,3330
11-23,34,0,22575,3330
11-24,13,0,22588,3330
11-25,13,0,22601,3330
11-26,16,0,22617,3330
11-27,13,0,22630,3330
11-28,7,0,22637,3330
11-29,7,0,22644,3330
11-30,14,0,22658,3330
12-01,14,0,22672,3330
12-02,9,0,22681,3330
12-03,9,0,22690,3330
12-04,3,0,22693,3330
12-05,5,0,22698,3330
12-06,2,0,22700,3330
12-07,5,0,22705,3330
12-08,5,0,22710,3330
12-09,3,0,22713,3330
12-10,7,0,22720,3330
12-11,7,0,22727,3330
12-12,1,0,22728,3330
12-13,3,0,22731,3330
12-14,2,0,22733,3330
12-15,3,0,22736,3330
12-16,3,0,22739,3330
12-17,1,0,22740,3330
12-18,2,0,22742,3330
12-19,2,0,22744,3330
12-20,1,0,22745,3330
12-21,4,0,22749,3330
12-22,4,0,22753,3330
12-24,3,0,22756,3330
12-27,1,0,22757,3330
12-28,1,0,22758,3330
12-29,2,0,22760,3330
